전시명,영문전시명,전시장소,전시시작일,전시종료일,메인이미지,오디오가이드
Y artist project 2 이혜인,Y artist project 2 LEE Hyein,프로젝트룸,2013-10-15,2014-02-09,https://artmuseum.daegu.go.kr/DATA/program/201310310936247363.jpg,https://artmuseum.daegu.go.kr/DATA/program/201310301026008956.mp3
권부문 성좌전,BOOMOON Constellation,"2, 3, 4,5전시실, 선큰가든",2013-10-24,2014-01-26,https://artmuseum.daegu.go.kr/DATA/program/201310171152348730.jpg,https://artmuseum.daegu.go.kr/DATA/program/201310251011459146.mp3
대구미술의 사색展,Contemplative Colors ,2전시실,2013-05-26,2013-10-13,https://artmuseum.daegu.go.kr/DATA/program/201308120321438131.jpg,https://artmuseum.daegu.go.kr/DATA/program/201308191105595850.mp3
연금술展,Kabbala,어미홀,2013-02-26,2013-06-23,https://artmuseum.daegu.go.kr/DATA/program/201303081038254781.jpg,https://artmuseum.daegu.go.kr/DATA/program/201305310657124582.mp3
"이완 : 아아, 순정 展",LEE Wan,프로젝트룸,2013-02-19,2013-07-14,https://artmuseum.daegu.go.kr/DATA/program/201302250154411120.jpg,https://artmuseum.daegu.go.kr/DATA/program/201307011003128020.mp3
DNA展(Design and Art),DNA(Design and Art),1 전시실,2013-02-26,2013-06-23,https://artmuseum.daegu.go.kr/DATA/program/201303081038148186.jpg,https://artmuseum.daegu.go.kr/DATA/program/201303210329439577.mp3
쿠사마 야요이 특별전,"KUSAMA YAYOI, A Dream I Dreamed","어미홀, 1, 3, 4, 5전시실",2013-07-16,2013-11-03,https://artmuseum.daegu.go.kr/DATA/program/201307081047442241.jpg,https://artmuseum.daegu.go.kr/DATA/program/201307251027193992.mp3
몸의 현재展,Body-Being Here,"3 전시실, 선큰가든",2013-02-26,2013-06-23,https://artmuseum.daegu.go.kr/DATA/program/201305240449569520.jpg,https://artmuseum.daegu.go.kr/DATA/program/201303210308447184.mp3
최병소展,CHOI Byung-So,제2전시실,2012-12-21,2013-02-17,https://artmuseum.daegu.go.kr/DATA/program/201212210156558073.jpg,https://artmuseum.daegu.go.kr/DATA/program/201301230530212752.mp3
Dislocation,Dislocation,1전시실,2012-11-20,2013-02-11,https://artmuseum.daegu.go.kr/DATA/program/201210300131511370.jpg,
The film 2012,The film 2012,프로젝트룸(B1),2012-12-04,2013-01-20,https://artmuseum.daegu.go.kr/DATA/program/201210260231288101.jpg,https://artmuseum.daegu.go.kr/DATA/program/201211141139322448.mp3
김영재展,Kim Yungzai,"4, 5 전시실",2012-09-25,2013-01-20,https://artmuseum.daegu.go.kr/DATA/program/201209201038237251.jpg,https://artmuseum.daegu.go.kr/DATA/program/201211260131533166.mp3
신상호展,Shin Sangho,어미홀,2012-09-18,2013-02-11,https://artmuseum.daegu.go.kr/DATA/program/201209211013137830.jpg,https://artmuseum.daegu.go.kr/DATA/program/201211140148399629.mp3
곽훈,Kwak Hoon,3전시실,2012-08-14,2013-02-17,https://artmuseum.daegu.go.kr/DATA/program/201208130456063176.jpg,https://artmuseum.daegu.go.kr/DATA/program/201307030323455366.mp3
타다시 카와마타,TADASHI KAWAMATA,1전시실,2012-08-14,2012-11-04,https://artmuseum.daegu.go.kr/DATA/program/201208140441537547.jpg,
鄕 이인성 탄생 100주년 기념展,The Centennial Celebration of Lee In-Sung's Birth,대구미술관 2전시실,2012-09-11,2012-12-09,https://artmuseum.daegu.go.kr/DATA/program/201209060247354121.jpg,https://artmuseum.daegu.go.kr/DATA/program/201211161159364447.mp3
프로젝트룸 디아티스트,Projectroom D Artist,프로젝트룸(B1),2012-04-17,2012-09-09,https://artmuseum.daegu.go.kr/DATA/program/201204160139504996.jpg,
11인의 인물화,11 Artists' Portraits,"4, 5 전시실",2012-04-17,2012-09-09,https://artmuseum.daegu.go.kr/DATA/program/201208240321494449.jpg,
심문섭_섬으로,Shim Moon Seup,대구미술관 어미홀,2012-04-10,2012-09-09,https://artmuseum.daegu.go.kr/DATA/program/201204240256538073.jpg,
특별전 - 박서보 展,Park Seobo,3전시실,2012-03-06,2012-07-29,https://artmuseum.daegu.go.kr/DATA/program/1_87233.jpg,
주제전 - 민성_民性 展,Korean Archetype,"1, 2 전시실",2012-03-06,2012-07-29,https://artmuseum.daegu.go.kr/DATA/program/201205291108249308.jpg,
상설전 - 이쾌대  展,Lee Qoede,"전시실 4, 5",2011-12-06,2012-04-01,https://artmuseum.daegu.go.kr/DATA/program/13231641977968750.jpg,
개관특별2부 - 김수자  展,Kim Sooja,프로젝트룸,2011-12-06,2012-04-01,https://artmuseum.daegu.go.kr/DATA/program/13231644699062500.jpg,
개관특별2부-특별전,Franccedil;ois Morellet,제3전시실,2011-10-12,2012-02-12,https://artmuseum.daegu.go.kr/DATA/program/13210106140692500.jpg,
개관특별2부-주제전,"Nature, Life, Human","1, 2 전시실",2011-10-18,2012-02-12,https://artmuseum.daegu.go.kr/DATA/program/201209050313255693.jpg,
"개관특별1부-정점식, 김종복展",Jeong Jeum-sik   Kim Jong-bok,"4, 5전시실",2011-08-10,2011-11-20,https://artmuseum.daegu.go.kr/DATA/program/13195612537897500.jpg,https://artmuseum.daegu.go.kr/DATA/program/13114462102500000.mp3
개관특별1부-Made in Daegu,Made in Daegu,지하1층 프로젝트룸,2011-08-10,2011-11-20,https://artmuseum.daegu.go.kr/DATA/program/13122770530278676.jpg,https://artmuseum.daegu.go.kr/DATA/program/13114460515156250.mp3
개관특별전 이강소,Lee Kang So exhibition,어미홀,2011-05-26,2012-04-01,https://artmuseum.daegu.go.kr/DATA/program/13114459168750000.jpg,https://artmuseum.daegu.go.kr/DATA/program/13114459169375000.mp3
개관특별전 Richard Long,Special exhibition of Richard Long,3전시실,2011-05-26,2011-09-25,https://artmuseum.daegu.go.kr/DATA/program/13114451358125000.jpg,https://artmuseum.daegu.go.kr/DATA/program/13114451359062500.mp3
개관특별1부-주제전,"Qi (氣, Energy) is Full","1, 2전시실",2011-05-26,2011-09-25,https://artmuseum.daegu.go.kr/DATA/program/13114448767031250.jpg,https://artmuseum.daegu.go.kr/DATA/program/13114448768750000.mp3
